word,score
abilities,-0.07317326966445628
about,-0.02355486184469936
absolutely,-0.002873084462166646
accounts,-0.004149460221840867
act,-0.033780190898827674
add,-0.02834032031938086
additions,-0.01701106585782513
address,-0.06351037234448065
admins,-0.03555794562723116
adress,-0.012652435251013821
advice,-0.03423654490541914
all,-0.025271265141094935
allegations,-0.021510776952224926
also,-0.028741165297540297
amendments,-0.02812097119852219
anal,0.0013203190967316612
anarchist,0.004341500832148785
anatomies,-0.012294513204090198
and,-0.00916761964004456
annoying,-0.022763420357982157
anti,-0.032302320747920776
anus,0.0171111793571276
apologies,-0.08329913241555288
april,-0.0024499248051376016
arguing,-0.08950296437659877
arse,0.17738740549778592
article,-0.02552612196196813
articles,-0.0566342494796358
ashamed,0.026519298892571944
asking,-0.06598437232455617
ass,0.15417682306349126
assembly,-0.025782693838052755
asshole,0.24596316830816692
at,-0.02662583821277631
attacks,-0.04201200715403378
attempted,-0.019178843654818
available,-0.03191657668937632
away,0.011527722300452787
baby,0.029509595014917466
back,-0.017199847233385655
baklava,-0.03422741645492154
ban,0.015028738823455184
banks,-0.009176186101935567
banned,-0.014091358283326258
banno,-0.03243475943517349
basin,-0.037007814588358966
bastarrd,0.00074057743980986
be,0.008942490138917554
been,-0.029444600495894657
before,-0.012367693146625327
behaviour,-0.015290556863496929
bet,-0.04336113775130976
big,-0.0025405688103530806
biggots,0.008170454923736437
bitch,0.2845029129161339
blatant,0.003176549617720447
block,-0.01798117150235216
bloody,0.20765066621284387
both,-0.05242215197970489
boys,0.02442659102265101
brilliant,-0.013844185236925542
britannia,-0.02029491957883731
bro,-0.03043388251523752
bullshit,0.2146857604648545
bunch,0.009420338710086504
but,-0.01544503536252213
butt,0.13657366222860434
by,-0.01764839891931073
called,-0.02939295852271668
calling,-0.03989399526501273
calls,-0.09926496364114423
came,-0.018710533586645244
can,-0.023801046722312237
cause,-0.02828964847049481
caused,-0.03881351719469736
cdwow,-0.028545798341474398
change,-0.0190406937108337
changed,-0.028631521779553457
changes,-0.041696337963977544
chatroom,-0.07938049329339805
checkuser,-0.028508323781410237
cherished,-0.022982625557300934
civil,-0.014996374077678978
clowns,-0.05746490763208522
coc,0.0051159064551881545
cock,0.23693674467614612
cocksucker,0.019829271721437627
cocksucking,0.07665511540012743
comment,-0.027855138420612057
commented,-0.030929072803770517
comments,-0.013951222315430086
complete,0.029819091276573763
considered,-0.040739874182687576
conspiracy,-0.01844037217494918
contender,-0.015745945681774252
contribute,-0.11766958865544323
contributed,-0.036560896784447065
conversation,-0.005541495667521886
country,-0.015766811373870766
crap,0.1583777556239382
creeping,-0.010862176914940399
creepy,0.010219865540410619
criticism,-0.104146043303582
cunt,0.1568587626170925
cunts,0.047811995495529135
damn,0.15789328909437295
dance,-0.009264837996230296
death,0.03632993000492145
december,-0.06669029309024119
decline,-0.04492936906343872
delete,0.016148147878444936
deleted,-0.02928025917810857
deletion,-0.006339272399506452
dennis,-0.0026773660391169497
devils,0.010066025822480312
diamonds,-0.009551217368870069
dick,0.21720537430831596
dickhead,0.0402110162320132
dickheads,0.14549965178808413
didnt,-0.05370980596822523
die,0.3722995756882757
discussed,-0.03973698075705601
discussion,-0.024811001976391436
disgrace,0.0027349678675386868
dog,-0.003939730396345229
doing,-0.011452393964380414
dollars,-0.024782475410429806
done,-0.030794453563793855
dont,0.007361127317932302
douche,0.1135663156480194
download,-0.038259341443157006
dub,0.011132550465918453
due,-0.023563673271306276
dumbshit,0.5943750214764589
easy,-0.022775672305411835
eat,0.0860648778718649
edit,-0.03980372687143676
editing,-0.01963131466257125
edits,-0.0247314953838431
elsewhere,-0.02343312883132095
end,-0.008696106805939779
enjoy,-0.026636248193550288
entries,-0.020475941778362445
essays,-0.025976384381076766
etc,-0.026838397706407786
evidence,-0.011721100223475436
evil,-0.017916028040075603
expired,-0.06071673736584471
f,0.11660046199485714
facts,-0.030198351983928156
fag,0.23179700822268978
fagget,0.019075981216583993
faggot,0.11963910673281726
fat,0.08741911264769056
fellas,0.008272789356460516
film,-0.039861357054623
find,-0.011589081069771006
fine,-0.008174493903711137
firebug,-0.04077477141049263
flag,-0.020930279457048243
formation,-0.034502658984842775
formed,-0.051532988031465485
former,-0.022118466207752693
free,-0.020625368811589176
from,-0.011846052099951586
front,-0.0075313598028806895
fuck,0.3559092656005275
fucked,0.009311118085054587
fuckface,0.345952840184813
fuckhead,0.8484619385200239
fuckin,0.026167456711936574
fucking,0.3046706856183316
funny,-0.00013090393833481014
garbage,0.027769739897689386
gates,-0.014826083796108355
gay,0.20175624157625857
gays,0.11347677265077748
get,-0.023998496720529675
gets,-0.020623844846335
go,0.0264230509896089
goddamn,0.6133654972517688
group,-0.032667453894399186
guess,-0.0505902973212121
gun,-0.007911543506186629
guts,0.26184656671073897
guy,0.014713967047021288
guys,-0.02982352602387662
haha,-0.0001465448532075479
hard,0.0015566788705810124
hate,0.019778930589635646
haz,-0.006662448579865023
he,0.017910688526497517
head,-0.17454642424206473
hell,0.0913125618925061
hello,-0.022855270671719795
helping,-0.025539527126478567
hercule,0.015459238991545853
here,-0.009278178222420526
hey,0.03745201177848406
hi,-0.07161991189409402
hippie,0.009601301235802731
holes,0.04387666346049198
horde,-0.008104524251302408
human,0.023904402552874644
huskissons,-0.07916710189376171
hypocrites,0.15540539719267807
i,-0.02643741506539523
icons,-0.028802790765904678
idiot,0.6188379470269546
idiotic,0.4752571797291911
idiotically,0.012308276819426851
idiots,0.34631602215934837
if,-0.03174934308214976
im,-0.04152402291312505
imbecile,0.19317608559388952
